Model,Glucose_uptake,Oxygen_uptake,Growth_rate
iYO844,5.625,7.5,0.2672888591982114
iYO844,5.625,8.25,0.29234718974804375
iYO844,5.625,9.0,0.31040973043197495
iYO844,5.625,9.75,0.3279121032921522
iYO844,5.625,10.5,0.3454144761523298
iYO844,5.625,11.25,0.36276770548955495
iYO844,5.625,12.0,0.3794910394305629
iYO844,5.625,12.75,0.39621437337157056
iYO844,5.625,13.5,0.4129377073125787
iYO844,5.625,14.25,0.42966104125358656
iYO844,5.625,15.0,0.4463843751945944
iYO844,5.625,15.75,0.46310770913560206
iYO844,5.625,16.5,0.46741399542837453
iYO844,5.625,17.25,0.4674139954283746
iYO844,5.625,18.0,0.4674139954283746
iYO844,5.625,18.75,0.4674139954283746
iYO844,5.625,19.5,0.4674139954283746
iYO844,5.625,20.25,0.4674139954283746
iYO844,5.625,21.0,0.4674139954283746
iYO844,5.625,21.75,0.4674139954283746
iYO844,5.625,22.5,0.4674139954283746
iYO844,5.625,23.25,0.4674139954283746
iYO844,5.625,24.0,0.4674139954283746
iYO844,5.625,24.75,0.4674139954283746
iYO844,5.625,25.5,0.4674139954283746
